Make,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
audi, A1,2017,Manual,15735,Petrol,150,55.4,1.4,12500
audi, A6,2016,Automatic,36203,Diesel,20,64.2,2,16500
audi, A1,2016,Manual,29946,Petrol,30,55.4,1.4,11000
audi, A4,2017,Automatic,25952,Diesel,145,67.3,2,16800
audi, A3,2019,Manual,1998,Petrol,145,49.6,1,17300
audi, A1,2016,Automatic,32260,Petrol,30,58.9,1.4,13900
audi, A6,2016,Automatic,76788,Diesel,30,61.4,2,13250
audi, A4,2016,Manual,75185,Diesel,20,70.6,2,11750
audi, A3,2015,Manual,46112,Petrol,20,60.1,1.4,10200
audi, A1,2016,Manual,22451,Petrol,30,55.4,1.4,12000
audi, A3,2017,Manual,28955,Petrol,145,58.9,1.4,16100
audi, A6,2016,Automatic,52198,Diesel,125,57.6,2,16500
audi, Q3,2016,Manual,44915,Diesel,145,52.3,2,17000
audi, A3,2017,Manual,21695,Petrol,30,58.9,1.4,16400
audi, A6,2015,Manual,47348,Diesel,30,61.4,2,15400
audi, A3,2017,Automatic,26156,Petrol,145,58.9,1.4,14500
audi, Q3,2016,Automatic,28396,Diesel,145,53.3,2,15700
audi, A3,2014,Automatic,30516,Petrol,30,56.5,1.4,13900
audi, Q5,2016,Automatic,37652,Diesel,200,47.1,2,19000
audi, Q3,2014,Manual,34110,Petrol,145,47.9,1.4,17000
audi, A5,2017,Automatic,37100,Diesel,145,67.3,2,17300
audi, Q5,2016,Automatic,23714,Diesel,200,47.1,2,20200
audi, A5,2017,Automatic,21649,Diesel,145,58.9,3,22500
audi, A6,2015,Automatic,62748,Diesel,150,53.3,3,17500
audi, Q5,2016,Automatic,23789,Diesel,200,47.1,2,20000
audi, A4,2017,Automatic,17418,Diesel,145,62.8,2,18500
audi, A5,2017,Automatic,33300,Diesel,145,61.4,2,19500
audi, A1,2018,Manual,10793,Petrol,145,56.5,1.4,15800
audi, A4,2018,Automatic,25138,Diesel,145,70.6,2,17200
audi, A6,2015,Manual,61176,Diesel,30,62.8,2,14000
audi, A1,2015,Automatic,54754,Diesel,0,76.3,1.6,9500
audi, Q3,2017,Manual,21369,Petrol,125,51.4,1.4,16500
audi, Q3,2014,Automatic,39190,Diesel,205,47.9,2,15000
audi, Q3,2017,Automatic,47482,Petrol,150,47.9,1.4,16000
audi, Q3,2016,Automatic,40501,Diesel,150,51.4,2,16900
audi, Q3,2014,Automatic,43195,Diesel,200,47.9,2,12300
audi, A1,2017,Manual,31447,Petrol,145,67.3,1,10800
audi, A6,2016,Automatic,34030,Diesel,125,58.9,2,19400
audi, A4,2017,Manual,29063,Diesel,145,70.6,2,16000
audi, A3,2017,Manual,29545,Diesel,145,65.7,2,17100
audi, A3,2015,Manual,75619,Diesel,20,68.9,2,11300
audi, Q3,2016,Automatic,39603,Diesel,160,50.4,2,17200
audi, Q3,2017,Automatic,42908,Diesel,145,51.4,2,20300
audi, A5,2014,Automatic,83872,Diesel,125,58.9,2,13200
audi, Q3,2016,Automatic,58750,Petrol,145,47.9,1.4,15200
audi, A3,2019,Manual,2029,Petrol,145,49.6,1,15700
audi, A6,2018,Automatic,22958,Petrol,145,50.4,1.8,16600
audi, A4,2017,Automatic,32097,Diesel,145,72.4,2,14400
audi, A5,2017,Automatic,13057,Petrol,145,53.3,2,20200
audi, S4,2017,Automatic,20278,Petrol,145,38.7,3,23700
audi, A4,2016,Manual,52561,Diesel,0,74.3,2,12750
audi, A6,2015,Automatic,31604,Diesel,20,67.3,2,13000
audi, Q3,2016,Manual,32011,Petrol,145,49.6,1.4,15900
audi, Q3,2016,Manual,39134,Diesel,30,60.1,2,15000
audi, Q5,2015,Automatic,89483,Diesel,205,47.1,2,14700
audi, A3,2015,Automatic,56291,Petrol,200,42.8,1.8,15000
audi, A6,2016,Automatic,47767,Diesel,20,61.4,2,16000
audi, A1,2014,Manual,34315,Petrol,125,53.3,1.4,11000
audi, A3,2016,Manual,66369,Diesel,0,83.1,1.6,10200
audi, A6,2016,Manual,34110,Diesel,30,61.4,2,18500
audi, A1,2013,Manual,76269,Diesel,0,74.3,1.6,7000
audi, A3,2016,Manual,37840,Diesel,20,70.6,1.6,10600
audi, A3,2017,Manual,26249,Diesel,30,67.3,1.6,16000
audi, Q3,2017,Manual,44898,Diesel,125,57.7,2,15000
audi, Q3,2017,Manual,67161,Petrol,150,51.4,1.4,14000
audi, A3,2018,Manual,17992,Petrol,150,54.3,1.5,18950
audi, A4,2016,Manual,97440,Diesel,20,70.6,2,10200
audi, A1,2017,Manual,19268,Petrol,150,67.3,1,11700
audi, A3,2013,Automatic,51441,Petrol,125,50.4,1.8,11500
audi, A1,2016,Manual,18181,Petrol,0,67.3,1,10800
audi, A3,2016,Manual,19494,Diesel,30,67.3,2,12500
audi, A6,2016,Manual,32808,Diesel,30,61.4,2,16600
audi, A3,2017,Manual,25965,Diesel,145,65.7,2,13100
audi, A3,2016,Manual,88215,Diesel,20,68.9,2,8300
audi, A3,2019,Manual,5704,Petrol,145,49.6,1,16000
audi, A4,2017,Manual,10959,Petrol,145,51.4,1.4,16900
audi, Q5,2016,Automatic,30201,Diesel,200,47.1,2,19600
audi, Q3,2017,Automatic,19319,Petrol,145,40.4,2,21800
audi, A6,2017,Manual,22582,Diesel,145,61.4,2,16200
audi, A5,2017,Manual,20052,Petrol,145,49.6,2,18700
audi, Q3,2016,Manual,16666,Diesel,30,60.1,2,16100
audi, A3,2016,Manual,25626,Diesel,0,74.3,1.6,11300
audi, A3,2016,Manual,10460,Petrol,20,60.1,1.4,14100
audi, A6,2016,Automatic,43307,Diesel,125,57.6,2,16600
audi, A1,2017,Manual,29327,Petrol,30,55.4,1.4,11300
audi, Q3,2017,Manual,36714,Petrol,125,51.4,1.4,15600
audi, A1,2014,Manual,28324,Petrol,125,53.3,1.4,10000
audi, A1,2016,Manual,12100,Petrol,30,56.5,1.4,14500
audi, Q3,2017,Manual,18001,Diesel,145,62.8,2,16100
audi, A1,2016,Manual,28760,Petrol,30,55.4,1.4,10600
audi, A3,2019,Semi-Auto,4000,Petrol,145,44.1,1.5,25499
audi, Q2,2019,Semi-Auto,7897,Diesel,145,47.9,2,25499
audi, A6,2016,Automatic,24744,Diesel,125,56.5,3,15500
audi, Q3,2015,Automatic,30075,Diesel,160,51.4,2,16200
audi, A1,2017,Manual,12577,Petrol,30,58.9,1.4,14000
audi, A6,2016,Automatic,24421,Diesel,30,61.4,2,17300
audi, A1,2016,Manual,15567,Diesel,0,76.3,1.6,10600
audi, A4,2018,Manual,15207,Petrol,145,51.4,1.4,17500
audi, A4,2017,Manual,14864,Petrol,145,52.3,1.4,15000
audi, A4,2019,Semi-Auto,9000,Petrol,145,38.7,2,25499
audi, A4,2019,Manual,5000,Petrol,145,38.7,2,25000
audi, Q2,2019,Semi-Auto,4264,Petrol,145,33.2,2,31000
audi, Q3,2019,Manual,4000,Diesel,145,42.8,2,28000
audi, Q3,2019,Manual,4000,Petrol,145,42.2,1.5,28000
audi, Q2,2019,Manual,2721,Diesel,145,49.6,1.6,21499
audi, Q2,2019,Semi-Auto,4000,Petrol,145,42.2,1.5,26000
audi, Q5,2016,Semi-Auto,49649,Diesel,235,42.2,3,30000
